county,total_pop,geoid,state_fips,county
"Albany County, New York",315041,0500000US36001,36,001
"Allegany County, New York",47222,0500000US36003,36,003
"Bronx County, New York",1443229,0500000US36005,36,005
"Broome County, New York",198365,0500000US36007,36,007
"Cattaraugus County, New York",77000,0500000US36009,36,009
"Cayuga County, New York",76171,0500000US36011,36,011
"Chautauqua County, New York",127440,0500000US36013,36,013
"Chemung County, New York",83584,0500000US36015,36,015
"Chenango County, New York",47096,0500000US36017,36,017
"Clinton County, New York",79839,0500000US36019,36,019
"Columbia County, New York",61469,0500000US36021,36,021
"Cortland County, New York",46755,0500000US36023,36,023
"Delaware County, New York",44637,0500000US36025,36,025
"Dutchess County, New York",296467,0500000US36027,36,027
"Erie County, New York",951232,0500000US36029,36,029
"Essex County, New York",37314,0500000US36031,36,031
"Franklin County, New York",47459,0500000US36033,36,033
"Fulton County, New York",53280,0500000US36035,36,035
"Genesee County, New York",58204,0500000US36037,36,037
"Greene County, New York",48067,0500000US36039,36,039
"Hamilton County, New York",5090,0500000US36041,36,041
"Herkimer County, New York",60293,0500000US36043,36,043
"Jefferson County, New York",117445,0500000US36045,36,045
"Kings County, New York",2679620,0500000US36047,36,047
"Lewis County, New York",26690,0500000US36049,36,049
"Livingston County, New York",61980,0500000US36051,36,051
"Madison County, New York",68020,0500000US36053,36,053
"Monroe County, New York",756406,0500000US36055,36,055
"Montgomery County, New York",49624,0500000US36057,36,057
"Nassau County, New York",1389160,0500000US36059,36,059
"New York County, New York",1645867,0500000US36061,36,061
"Niagara County, New York",212230,0500000US36063,36,063
"Oneida County, New York",231055,0500000US36065,36,065
"Onondaga County, New York",472637,0500000US36067,36,067
"Ontario County, New York",112288,0500000US36069,36,069
"Orange County, New York",401237,0500000US36071,36,071
"Orleans County, New York",40148,0500000US36073,36,073
"Oswego County, New York",118037,0500000US36075,36,075
"Otsego County, New York",59678,0500000US36077,36,077
"Putnam County, New York",97942,0500000US36079,36,079
"Queens County, New York",2360826,0500000US36081,36,081
"Rensselaer County, New York",160943,0500000US36083,36,083
"Richmond County, New York",492925,0500000US36085,36,085
"Rockland County, New York",337326,0500000US36087,36,087
"St. Lawrence County, New York",108670,0500000US36089,36,089
"Saratoga County, New York",236328,0500000US36091,36,091
"Schenectady County, New York",159447,0500000US36093,36,093
"Schoharie County, New York",29970,0500000US36095,36,095
"Schuyler County, New York",17855,0500000US36097,36,097
"Seneca County, New York",33651,0500000US36099,36,099
"Steuben County, New York",93584,0500000US36101,36,101
"Suffolk County, New York",1524486,0500000US36103,36,103
"Sullivan County, New York",78725,0500000US36105,36,105
"Tioga County, New York",48344,0500000US36107,36,107
"Tompkins County, New York",102555,0500000US36109,36,109
"Ulster County, New York",182153,0500000US36111,36,111
"Warren County, New York",65684,0500000US36113,36,113
"Washington County, New York",61310,0500000US36115,36,115
"Wayne County, New York",91324,0500000US36117,36,117
"Westchester County, New York",997904,0500000US36119,36,119
"Wyoming County, New York",40338,0500000US36121,36,121
"Yates County, New York",24713,0500000US36123,36,123
